Disease Name,Category,Plant Part Affected,Symptoms Description,Severity Level,Season/Trigger Conditions,Natural Resolution,Chemical Resolution,Preventive Measures,Detection Method,Days to Recovery,Impact on Yield,Stage of Plant Growth Affected,Region/Geography,Cultural control 
Alternaria Leaf Spot,Fungal Disease ,"Leaves,Stem","Small brown/black spots that develop into circular lesions with distinct concentric rings (""bullseye"" pattern). Center turns dry/brittle. Leads to yellowing and premature leaf drop.",Moderate to Severe (depending on humidity and plant health),"Warm temperatures (25–30°C),","1. Remove infected leaves immediately. 
2. Increase air circulation (prune/space plants).
 3. Avoid overhead watering (water at base)
. 4. Use neem oil spray (natural antifungal).
 5. Maintain clean soil (remove debris).
 6. Rotate crops every season.","Use Mancozeb 75% WP (broad-spectrum) or Chlorothalonil 75% WP (contact). For severe cases, use Azoxystrobin + Difenoconazole (systemic combo). Spray every 7–10 days.","Maintain proper plant spacing. 
Water in the morning at the base.
 Regularly remove dry/infected leaves.
 Apply preventive neem oil spray.
 Use drip irrigation. 
Rotate crops.","Visual observation of brown/black circular spots with concentric rings. 
Check for yellowing and early leaf drop. 
Confirmed via microscopy for Alternaria spores.",1 to 7,"Reduces photosynthesis, causes early leaf drop, and decreases fruit size/quality. Yield loss ranges from 20% to 50% in severe cases.","All stages, but most severe during mid and late growth stages when foliage is dense and stress is high.","Widespread/Global. Common in tropical, subtropical, and temperate regions with warm and humid conditions (e.g., India, Southeast Asia, Mediterranean).",eliminating the fungal source (inoculum) and reducing the moisture/humidity conditions that allow the spores to thrive and spread.
Aphids,Aphids,"shoot tips, young leaves, buds, and the underside of older leaves.","Curled, yellowed, or distorted leaves/stems due to sap feeding. Presence of sticky, shiny substance called honeydew (excrement), often leading to sooty mold growth. High numbers form dense colonies.",Moderate to Severe.,"spring, early summer, and fall","1. Hand remove/squish small colonies.
 2. Spray plants with strong jets of water to knock them off.
 3. Introduce natural predators (e.g., Ladybugs, Lacewings). 
4. Apply insecticidal soap or neem oil spray every 5–7 days.
 5. Prune/remove heavily infested stems. 
6. Plant repellent companion plants (e.g., Catnip, Dill).","Use any ONE of the following insecticides: Imidacloprid (systemic, soil drench or spray), Lambda-cyhalothrin (contact pyrethroid), or Acetamiprid (systemic/contact). Use only when biological/cultural controls fail.","Monitor plants weekly, especially new growth.
 Avoid excessive nitrogen fertilization (limits tender growth).
 Encourage natural enemies (e.g., avoid broad-spectrum sprays). 
Check new plants before introducing them.","Method*	Visual observation of small, pear-shaped insects (green, yellow, black) clustered on stems/leaf undersides. 
Check for sticky honeydew or the presence of black sooty mold.",1 to 7,"Reduces plant vigor (stunting), decreases fruit/flower production, and can cause total crop loss due to viral transmission .","young seedlings and new, succulent growth.","Found in virtually all temperate, subtropical, and tropical growing regions where host plants are present.","Water Blast: Use a strong jet of water (e.g., from a hose) to physically knock aphids off plants, especially from leaf undersides.
Manual Removal: Wipe off or prune heavily infested stems and leaves to immediately reduce the population.
Promote Natural Enemies: Plant companion flowers (like dill or yarrow) to attract and support beneficial insects (Ladybugs, Lacewings).
Avoid High-Nitrogen: Limit high-nitrogen fertilizers as they stimulate the soft, succulent growth preferred by aphids."
Cercospora,Fungal Disease,"Primarily Leaves, but can also affect stems, petioles, and seed pods.","Small, circular to angular spots (3-5 mm). Characteristic feature: Tan or grey centers with a distinct reddish-purple or dark brown border. The center may dry and fall out, creating a ""shot-hole"" effect. Leads to severe yellowing and premature defoliation.",Moderate to Severe,Warm temperatures(23°Cto30°C),"1. Remove & Destroy infected leaf debris after harvest (inoculum source). 
2. Increase Air Circulation (prune/space plants) to reduce leaf wetness time.
 3. Switch to Drip Irrigation (avoid overhead watering). 
4. Use Neem oil or a copper-based spray (organic option) every 7-10 days.
 5. Control susceptible weeds that can host the fungus.","Use Chlorothalonil or Mancozeb (protectant/contact fungicides). For systemic control, use Propiconazole 25% EC, Difenoconazole, or a combination product like Carbendazim + Mancozeb (Rotate classes to prevent resistance).","Plant resistant cultivars where available.
 Practice 3-year crop rotation with non-host plants. 
Use certified disease-free seed.
 Avoid working in fields when foliage is wet to prevent spore spread.
 Maintain balanced fertilization.","Visual observation of the small, characteristic tan/grey spots with dark purple borders on leaves. Check for heavy yellowing and leaf drop starting from the lower canopy.",7 to 10,"Severe defoliation reduces the plant's ability to photosynthesize, resulting in reduced root/fruit size and sugar content. Yield losses can reach 20% to 50% in severe, unmanaged outbreaks.",After canopy closure and during reproductive/yield development .,"Prevalent in warm, humid, and subtropical regions across all continents due to the fungus's ability to infect numerous crop and ornamental species.","Sanitation: Remove and destroy all infected plant residue (leaves, stems) from the field/garden immediately after harvest to eliminate the primary inoculum source.
Crop Rotation: Implement a 3-year rotation with non-host crops (e.g., small grains, corn) to prevent the fungal spores from building up in the soil.
Water Management: Switch to drip irrigation or water at the base of the plant in the morning. Avoid overhead watering to reduce the period of leaf wetness.
Air Circulation: Ensure proper plant spacing and perform strategic pruning to promote air movement within the canopy, helping leaves dry quickly.
Resistant Varieties: Plant certified disease-free seed and select resistant or tolerant cultivars whenever they are available for your crop.
Field Hygiene: Avoid working or moving equipment through fields when foliage is wet, as this can easily spread fungal spores to healthy plants."
Leaf Curl,Fungal Disease,"Primarily Leaves, but also occasionally young shoots, flowers, and fruit.","Thickened, curled, and distorted new leaves which often blister and pucker. The color changes from light green to vivid red or purple. Severely infected leaves turn yellow, brown, and drop prematurely. Leads to significant defoliation and weakened trees.",Moderate to Severe.,Cool and wet conditions in early spring.,"1. Prune out severely infected shoots (only if practical). 
2. Rake up and destroy all dropped leaves to reduce fungal spores near the tree base. 
3. Avoid overhead watering during the spring budding period.
 4. Improve tree vigor through proper fertilization and care so it can produce a healthy second flush of leaves.","Fungicides are preventative and must be applied in late fall (after leaf drop) or late winter/early spring (before bud swell). Use Chlorothalonil or Copper-based fungicides (e.g., Copper Hydroxide). Apply only once per dormant season.","Apply dormant spray (Copper or Chlorothalonil) once in late fall or late winter/early spring before bud break (critical timing).
Plant resistant cultivars (e.g., 'Frost', 'Redhaven'). Maintain tree health with balanced feeding.","Visual observation of the characteristic thickened, puckered, and brightly colored (red/purple) leaves appearing shortly after bud break in spring. Check for subsequent heavy leaf drop.",14 to 20,"Early defoliation forces the tree to spend energy on replacing leaves, drastically reducing fruit set and size. 
Repeated annual defoliation can kill branches or entire young trees.",bud break stage,"Pacific Northwest US, UK, Central Europe, parts of Australia","Rake and Destroy Debris: Rake up and remove all fallen infected leaves immediately and destroy them (do not compost) to reduce the fungal inoculum near the tree.

Improve Tree Vigor: Ensure the tree has adequate water and balanced nutrition after the infected leaves drop to support the growth of the replacement, healthy leaves (the ""second flush"").

Pruning: Prune out any severely infected young shoots when symptoms are visible to remove fungal spores, though this is less effective than chemical control.

Shelter/Drainage: Improve soil drainage and, if possible, plant the tree in a location that receives good air circulation and shelter from excessive spring rain.

Avoid Wet Working: Do not prune or work near the tree when it is wet during the dormant or early spring period, as this can inadvertently spread spores."
Phomopsis Blight and Fruit Rot,Fungal Disease,"Fruit,Stems,Leaves","Fruit: Causes light brown, soft, sunken, watery spots that enlarge rapidly, often covering the entire fruit. Spots turn black and become studded with tiny black dots (fruiting bodies).
 Stem: Dark, elongated lesions (cankers) near the soil line or branching points, girdling the stem. 
Leaves: Irregular brown spots with grey centers.",High,"Warm, wet, or rainy weather(25°Cto30°C)","1. Use certified disease-free seed.
2. Remove and destroy all infected fruit and plant debris immediately. 
3. Avoid overhead watering (use drip irrigation) to keep foliage dry.
4. Stake plants to improve air circulation and prevent contact with soil.
5. Solarize soil or rotate crops (4 years) to reduce soil inoculum.","Mancozeb 75% WP (broad-spectrum protectant) or Chlorothalonil (contact). For severe cases, use a systemic like Azoxystrobin (Strobilurin class). Apply on a 7–10 day schedule starting when fruit begins to set.",Plant resistant or tolerant varieties. Practice long crop rotations (4 years). Sanitize tools after working with infected plants. Use certified seed. Ensure proper plant spacing for airflow.,"Visual observation of the characteristic black, sunken, rotting fruit spots covered in small black dots (pycnidia). Check for dark, girdling cankers on the main stem.",1 to 7,"Total loss of marketable fruit in severe cases. Stem lesions can girdle the plant, causing wilting and plant death, severely reducing overall harvest.","All stages, from seedling to mature plant","warm, humid, and tropical climates 
(e.g., Southeast Asia, India, Southern US).","Sanitation (Post-Harvest): Remove and completely destroy all crop residue (stems, leaves, dropped fruit) from the field after harvest. The fungus survives here for years.

Seed Sourcing: Always use certified, disease-free seed or treat seed with a fungicide before planting, as the fungus is often seed-borne.

Crop Rotation: Implement a long rotation (4 years or more) with non-solanaceous crops (not tomato, pepper, potato) to reduce soil inoculum levels.

Water Management: Use drip or furrow irrigation to avoid wetting foliage and fruit, limiting the spread of spores.

Pruning/Staking: Stake plants to keep fruit and leaves off the soil surface, and prune lower leaves to improve air circulation within the canopy.

Resistant Varieties: Choose and plant resistant or tolerant eggplant varieties when available."
Downy Mildew,Oomycete,"Primarily Leaves, but can also affect stems and flowers.","Upper Leaf Surface: Yellow, angular spots (limited by leaf veins). Lower Leaf Surface: Fuzzy, gray-to-purplish/blue-black downy growth (the spore-producing structures) directly beneath the yellow spots. Leaves eventually turn brown, dry up, and die.",High.,Cool to Mild temperaturesCool to Mild temperatures(10°Cto24°C)and High Humidity (near 100%),"1. Remove and destroy all infected plant material immediately. 
2. Increase air circulation (prune/space plants).
3. Avoid overhead watering (use drip irrigation) and water in the morning.
4. Use resistant varieties where available.
5. Solarize soil or rotate crops (3 years) to reduce soil inoculum.","Use protectants like Mancozeb 75% WP or Chlorothalonil. Effective systemic/specialized oomycete controls include Phosphorous Acid salts (e.g., Mono- and Di-potassium salts of Phosphorous Acid) or fungicides like Metalaxyl or Propamocarb.","Plant resistant varieties.
Manage moisture (use drip irrigation, ensure good drainage). 
Increase plant spacing for airflow.
Apply preventive fungicides during peak cool, wet periods. Destroy crop debris promptly.","Visual observation of yellow, angular spots on the top of leaves and the diagnostic fuzzy, downy growth on the corresponding lower leaf surface",7 to 10,"Total crop loss is possible. Severe, rapid defoliation prevents fruit/tuber/leaf development, resulting in drastically reduced marketable yield and quality.",All stages when environmental conditions are favorable.,"cool, moist coastal regions or areas experiencing frequent rain, heavy dew, or fog
(e.g., Western Europe, coastal California, humid highlands).","Water Management (Critical): Switch to drip or furrow irrigation and avoid wetting the leaves. Water only in the morning so foliage can dry quickly.

Air Circulation & Spacing: Increase plant spacing and perform strategic pruning to promote rapid air movement and drying of the leaf surface.

Resistant Cultivars: Plant varieties known to be resistant to specific Downy Mildew races affecting your crop.

Sanitation: Remove and destroy all infected plant material, especially at the end of the season, as the pathogen survives in debris and soil.

Weed Control: Control weeds in the crop area, as they can sometimes act as alternate hosts, harboring the pathogen.

Site Selection: Plant in areas with good soil drainage and maximum sun exposure to minimize leaf wetness periods."
FleaBeetles,Insect Pest,Leaves and Roots,"Leaves: Characteristic small, circular holes that look like they were made by a shotgun, resulting in a ""shot-hole"" appearance. Severe feeding can cause stunting and kill young seedlings.
Roots: Larvae feed on roots, which can also stunt growth.",High on seedlings and transplants,dry spring weather and early summer,"1. Apply Diatomaceous Earth (DE) around plant bases to scratch and desiccate beetles.
2. Use sticky traps to monitor/catch adults. 
3. Spray plants with neem oil or insecticidal soap (repeat every 5-7 days). 4. Handpick large beetles (if practical). 
5. Plant trap crops (e.g., radish) to divert beetles.","Carbaryl (contact insecticide) or Lambda-cyhalothrin (pyrethroid). For young seedlings, a soil drench of Imidacloprid (systemic) can provide early protection. Always check label for host crop use.","Delay planting until after peak beetle emergence. 
Use row covers (physical barrier) immediately after planting. 
Incorporate beneficial nematodes into the soil to control larvae. 
Plant resilient transplants instead of direct seeding.","Visual observation of the small, metallic-colored beetles that jump like fleas when disturbed. Check leaves for the ""shot-hole"" damage.",7 to 10,"High Negative Impact on young crops, causing stand reduction and stunting. Lower impact on mature plants, unless severe root feeding by larvae occurs.",Seedling and transplant stage.,"Found wherever susceptible crops (especially Brassicas, nightshades, and corn) are grown.","Physical Exclusion: Immediately cover new seedlings or transplants with lightweight floating row covers to act as a physical barrier until the plants are mature enough to withstand damage.

Timing: Delay planting susceptible crops until after the main initial flush of adult beetles has passed (typically later in spring).

Soil Amendment: Use diatomaceous earth (DE) lightly dusted around the base of plants to damage the beetles' exoskeletons.

Mulching: Use thick mulch to help keep the soil cool, which may discourage egg-laying.

Water & Nutrition: Keep plants well-watered and fertilized to encourage vigorous growth, allowing them to tolerate and outgrow feeding damage.

Crop Rotation: Practice crop rotation (avoid planting host plants in the same area year after year) to reduce the number of overwintering larvae/pupae in the soil.

Trap Cropping: Plant highly susceptible crops (like radish or mustard) nearby early to lure beetles away from the main crop."
Fruit Creaking,Physiological Disorder,Mature or nearing-mature Fruit.,"Cracks or splits develop on the fruit skin, typically starting near the stem end (concentric cracking) or running vertically from stem to blossom end (radial cracking). The cracking exposes the flesh, making the fruit susceptible to rot and unmarketable.",High,wide fluctuations in temperature or humidity.,"1. Maintain consistent soil moisture (critical). 
2. Apply organic mulch to stabilize soil temperature and moisture. 
3. Harvest fruit before major rain events if possible.
4. Apply foliar sprays of calcium chloride to strengthen skin elasticity (preventative).","Calcium Chloride (CaCl2) or Calcium Nitrate foliar sprays can be used. These treatments strengthen the fruit cell walls and skin elasticity, reducing cracking, but must be applied preventatively during fruit development.",Use drip irrigation to ensure consistent water delivery. Mulch heavily to stabilize soil moisture. Select and plant crack-resistant varieties. Provide partial shade during intense afternoon sun to prevent extreme temperature swings.,Visual observation of physical breaks in the fruit skin (concentric or radial splits) as the fruit reaches maturity.,5 to 6,"Reduces the marketable yield significantly, as cracked fruit cannot be sold and must be discarded.",Late fruiting stage,fluctuating rainfall and high temperature/humidity swings,"Consistent Irrigation (CRITICAL): Use drip or soaker irrigation to provide a consistent, even supply of water, avoiding sudden soil saturation.

Mulching: Apply a thick layer of organic mulch (straw, wood chips) around plants to stabilize soil temperature and minimize rapid fluctuations in soil moisture.

Harvest Timing: Harvest mature fruit immediately before predicted heavy rainfall to minimize exposure to sudden water uptake.

Variety Selection: Plant known crack-resistant or crack-tolerant varieties (this is the most effective long-term control).

Shade Management: Provide light shading to protect fruit from intense mid-day sun, which can help regulate fruit temperature and prevent rapid skin hardening."
Epilachna Beetles,Insect Pest,"Leaves , stems, and sometimes fruit.","Adults and larvae feed on the underside of leaves, scraping away the tissue (epidermis and parenchyma) and leaving the upper epidermis intact. This results in a distinctive lacy or skeletonized appearance. Severe feeding causes leaves to dry out and drop prematurely.",High,high humidity,"1. Handpick all visible eggs, larvae, and adults, and destroy them. 
2. Spray plants forcefully with water to dislodge insects. 
3. Apply Neem oil or insecticidal soap to the leaf undersides every 5–7 days. 
4. Encourage natural enemies (e.g., parasitic wasps). 
5. Plant resistant bush bean varieties.","Use Carbaryl or Malathion (contact insecticides). For systemic control, Acetamiprid can be effective. CRITICAL: Target the underside of the leaves for effective coverage.",Rotate crops (avoid planting beans in the same spot). Plant early to avoid peak infestation. Till soil in late fall to expose overwintering adults. Use row covers early in the season.,"Visual observation of skeletonized, lacy leaves. Check the underside of leaves for yellow-orange, oval adults (with black spots), spiny yellow larvae, and yellow/orange egg masses.",1 to 7,"Reduces the photosynthetic area, causing poor pod/fruit filling, resulting in significantly reduced yield and quality.",flowering and pod-setting stages,"North and Central America (especially Eastern US), and other bean-growing regions with warm, humid summers.","Handpicking and Destruction: Manually remove and crush or drop into soapy water all visible eggs (yellow clusters on the leaf underside), larvae (spiny yellow insects), and adults.

Targeted Spraying: Use a strong jet of water to spray the underside of the leaves to dislodge adults and larvae.

Crop Rotation: Implement a 3-year rotation with non-host crops (like corn or potato) to reduce the number of overwintering adults in the planting area.

Timing and Variety: Plant bush beans early to allow them to set pods before the beetle population peaks, or choose resistant bush varieties over vining types.

Residue Management: Till the soil deeply after harvest or in late fall to expose and kill overwintering adult beetles.

Row Covers: Use floating row covers early in the season to prevent adult beetles from accessing young plants."
Verticillium Wilt,Fungal Disease,"Vascular System (xylem), stems, leaves.","Lower, older leaves develop yellowish-brown areas between the main veins (interveinal chlorosis). Leaves eventually wilt and die, often affecting only one side of the plant or branch first. Stunting is common. Cutting the lower stem reveals dark brown discoloration in the vascular tissue (diagnostic sign).",High,Cool soil temperatures(18°Cto25°C),"1. Remove and destroy infected plants immediately upon detection.
2. Practice long crop rotations (4-6 years) with non-host plants. 
3. Solarize the soil during hot periods to kill the fungus (microsclerotia).
4. Use resistant varieties (most effective). 
5. Avoid deep cultivation to prevent spreading the fungus.",Fungicides are generally ineffective against Verticillium Wilt once infection is established because the fungus is inside the plant's vascular system. Control relies on cultural practices and resistant rootstocks/varieties.,Plant resistant cultivars or graft onto resistant rootstock. Avoid planting in infested soil (4-6 year rotation). Control susceptible weeds that can harbor the fungus. Maintain optimal soil moisture (avoiding overwatering).,Visual observation of one-sided wilting and yellowing of lower leaves. Confirmation: Cut the main stem near the soil line and look for dark brown ring (discolored vascular tissue).,No Recovery,"Wilting and stunting prevent normal flowering and fruit set, leading to severe reduction in fruit size and total yield.",All stages.,"Found in most temperate and Mediterranean regions, especially in fertile, slightly cool soils.","Crop Rotation (CRITICAL): Implement a long rotation (4 to 6 years) with non-host crops (e.g., corn, cereals, broccoli) to starve the fungus in the soil.

Resistant Varieties: Plant resistant or tolerant varieties or use grafted plants with resistant rootstocks, which is the most reliable control method.

Soil Solarization: Cover moist soil with clear plastic during the hottest months to raise the temperature high enough to kill the fungus (microsclerotia) in the top layer of soil.

Sanitation: Remove and immediately destroy (do not compost) any infected plants, roots and all, to prevent further buildup of the fungus in the soil.

Weed Control: Control susceptible weeds (e.g., nightshade, lamb's quarters) that can act as hosts for the fungus.

Tillage Minimization: Avoid deep or excessive tillage in known infested areas, as this can spread the fungal microsclerotia."
